,peptide,water,HAuCl4,hepes,Slot,LabwareType,WellCode,WellIndex,UID,peptide_name
128,4.00E-05,1,4.00E-05,0.0001,4,corning-48-3548,A1,0,2021-07-13Z2_S4_A1,Z2
129,4.00E-05,1,4.00E-05,0.001,4,corning-48-3548,B1,1,2021-07-13Z2_S4_B1,Z2
130,4.00E-05,1,4.00E-05,0,4,corning-48-3548,C1,2,2021-07-13Z2_S4_C1,Z2
131,4.00E-05,1,6.84E-05,0.0001,4,corning-48-3548,D1,3,2021-07-13Z2_S4_D1,Z2
132,4.00E-05,1,6.84E-05,0.001,4,corning-48-3548,E1,4,2021-07-13Z2_S4_E1,Z2
133,4.00E-05,1,6.84E-05,0,4,corning-48-3548,F1,5,2021-07-13Z2_S4_F1,Z2
134,4.00E-05,1,0.000116961,0.0001,4,corning-48-3548,A2,6,2021-07-13Z2_S4_A2,Z2
135,4.00E-05,1,0.000116961,0.001,4,corning-48-3548,B2,7,2021-07-13Z2_S4_B2,Z2
136,4.00E-05,1,0.000116961,0,4,corning-48-3548,C2,8,2021-07-13Z2_S4_C2,Z2
137,4.00E-05,1,0.0002,0.0001,4,corning-48-3548,D2,9,2021-07-13Z2_S4_D2,Z2
138,4.00E-05,1,0.0002,0.001,4,corning-48-3548,E2,10,2021-07-13Z2_S4_E2,Z2
139,4.00E-05,1,0.0002,0,4,corning-48-3548,F2,11,2021-07-13Z2_S4_F2,Z2
140,8.94E-05,1,4.00E-05,0.0001,4,corning-48-3548,A3,12,2021-07-13Z2_S4_A3,Z2
141,8.94E-05,1,4.00E-05,0.001,4,corning-48-3548,B3,13,2021-07-13Z2_S4_B3,Z2
142,8.94E-05,1,4.00E-05,0,4,corning-48-3548,C3,14,2021-07-13Z2_S4_C3,Z2
143,8.94E-05,1,6.84E-05,0.0001,4,corning-48-3548,D3,15,2021-07-13Z2_S4_D3,Z2
144,8.94E-05,1,6.84E-05,0.001,4,corning-48-3548,E3,16,2021-07-13Z2_S4_E3,Z2
145,8.94E-05,1,6.84E-05,0,4,corning-48-3548,F3,17,2021-07-13Z2_S4_F3,Z2
146,8.94E-05,1,0.000116961,0.0001,4,corning-48-3548,A4,18,2021-07-13Z2_S4_A4,Z2
147,8.94E-05,1,0.000116961,0.001,4,corning-48-3548,B4,19,2021-07-13Z2_S4_B4,Z2
148,8.94E-05,1,0.000116961,0,4,corning-48-3548,C4,20,2021-07-13Z2_S4_C4,Z2
149,8.94E-05,1,0.0002,0.0001,4,corning-48-3548,D4,21,2021-07-13Z2_S4_D4,Z2
150,8.94E-05,1,0.0002,0.001,4,corning-48-3548,E4,22,2021-07-13Z2_S4_E4,Z2
151,8.94E-05,1,0.0002,0,4,corning-48-3548,F4,23,2021-07-13Z2_S4_F4,Z2
152,0.0002,1,4.00E-05,0.0001,4,corning-48-3548,A5,24,2021-07-13Z2_S4_A5,Z2
153,0.0002,1,4.00E-05,0.001,4,corning-48-3548,B5,25,2021-07-13Z2_S4_B5,Z2
154,0.0002,1,4.00E-05,0,4,corning-48-3548,C5,26,2021-07-13Z2_S4_C5,Z2
155,0.0002,1,6.84E-05,0.0001,4,corning-48-3548,D5,27,2021-07-13Z2_S4_D5,Z2
156,0.0002,1,6.84E-05,0.001,4,corning-48-3548,E5,28,2021-07-13Z2_S4_E5,Z2
157,0.0002,1,6.84E-05,0,4,corning-48-3548,F5,29,2021-07-13Z2_S4_F5,Z2
158,0.0002,1,0.000116961,0.0001,4,corning-48-3548,A6,30,2021-07-13Z2_S4_A6,Z2
159,0.0002,1,0.000116961,0.001,4,corning-48-3548,B6,31,2021-07-13Z2_S4_B6,Z2
160,0.0002,1,0.000116961,0,4,corning-48-3548,C6,32,2021-07-13Z2_S4_C6,Z2
161,0.0002,1,0.0002,0.0001,4,corning-48-3548,D6,33,2021-07-13Z2_S4_D6,Z2
162,0.0002,1,0.0002,0.001,4,corning-48-3548,E6,34,2021-07-13Z2_S4_E6,Z2
163,0.0002,1,0.0002,0,4,corning-48-3548,F6,35,2021-07-13Z2_S4_F6,Z2
164,0,1,4.00E-05,0.0001,4,corning-48-3548,A7,36,2021-07-13Z2_S4_A7,Z2
165,0,1,4.00E-05,0.001,4,corning-48-3548,B7,37,2021-07-13Z2_S4_B7,Z2
166,0,1,4.00E-05,0,4,corning-48-3548,C7,38,2021-07-13Z2_S4_C7,Z2
167,0,1,6.84E-05,0.0001,4,corning-48-3548,D7,39,2021-07-13Z2_S4_D7,Z2
168,0,1,6.84E-05,0.001,4,corning-48-3548,E7,40,2021-07-13Z2_S4_E7,Z2
169,0,1,6.84E-05,0,4,corning-48-3548,F7,41,2021-07-13Z2_S4_F7,Z2
170,0,1,0.000116961,0.0001,4,corning-48-3548,A8,42,2021-07-13Z2_S4_A8,Z2
171,0,1,0.000116961,0.001,4,corning-48-3548,B8,43,2021-07-13Z2_S4_B8,Z2
172,0,1,0.000116961,0,4,corning-48-3548,C8,44,2021-07-13Z2_S4_C8,Z2
173,0,1,0.0002,0.0001,4,corning-48-3548,D8,45,2021-07-13Z2_S4_D8,Z2
174,0,1,0.0002,0.001,4,corning-48-3548,E8,46,2021-07-13Z2_S4_E8,Z2
175,0,1,0.0002,0,4,corning-48-3548,F8,47,2021-07-13Z2_S4_F8,Z2
176,4.00E-05,1,4.00E-05,1.00E-05,5,corning-48-3548,A1,48,2021-07-13Z2_S5_A1,Z2
177,4.00E-05,1,6.84E-05,1.00E-05,5,corning-48-3548,B1,49,2021-07-13Z2_S5_B1,Z2
178,4.00E-05,1,0.000116961,1.00E-05,5,corning-48-3548,C1,50,2021-07-13Z2_S5_C1,Z2
179,4.00E-05,1,0.0002,1.00E-05,5,corning-48-3548,D1,51,2021-07-13Z2_S5_D1,Z2
